"","species","site_id","pa","x","y"
"1","Acacia mellifera","110P",1,36.81024,1.7909
"2","Acacia mellifera","110S1",1,36.81268,1.79674
"3","Acacia mellifera","110S2",1,36.81423,1.79784
"4","Acacia mellifera","101P",1,36.83099,1.77334
"5","Acacia mellifera","102P",1,36.8329,1.76944
"6","Acacia mellifera","102S3",1,36.83223,1.77046
"7","Acacia mellifera","025P",1,36.8289,1.85003
"8","Acacia mellifera","024P",1,36.8219,1.85503
"9","Acacia mellifera","104P",1,36.8005,1.79276
"11","Acacia mellifera","105P",1,36.79651,1.79213
"13","Acacia mellifera","108P",1,36.78776,1.75379
"14","Acacia mellifera","114P",1,36.82184,2.12804
"15","Acacia mellifera","115P",1,36.76175,2.12227
"16","Acacia mellifera","115S1",1,36.76314,2.12413
"17","Acacia mellifera","115S2",1,36.76623,2.12642
"18","Acacia mellifera","113P",1,36.75853,2.11675
"19","Acacia mellifera","113S1",1,36.75498,2.11268
"20","Acacia mellifera","113S2",1,36.75194,2.10696
"21","Acacia mellifera","154P",1,36.7879,2.07203
"22","Acacia mellifera","155P",1,36.7619,2.25303
"23","Acacia mellifera","289P",0,36.7349,1.08703
"24","Acacia mellifera","289S1",0,36.73669,1.08986
"25","Acacia mellifera","289S2",0,36.73721,1.08998
"26","Acacia mellifera","118P",0,36.8249,1.01003
"27","Acacia mellifera","118S1",0,36.8254,1.00866
"28","Acacia mellifera","118S2",0,36.82647,1.00764
"29","Acacia mellifera","191P",0,36.7319,1.09803
"30","Acacia mellifera","191S1",0,36.73503,1.1005
"31","Acacia mellifera","191S2",0,36.73601,1.10162
"32","Acacia mellifera","288P",0,36.73759,1.08804
"33","Acacia mellifera","288S1",0,36.73828,1.09016
"34","Acacia mellifera","288S2",0,36.73945,1.09178
"35","Acacia mellifera","137P",0,36.8409,1.00503
"36","Acacia mellifera","136P",0,36.8439,1.02103
"37","Acacia mellifera","258P",0,36.6759,1.08903
"38","Acacia mellifera","258S1",0,36.6748,1.08831
"39","Acacia mellifera","258S2",0,36.6732,1.08742
"40","Acacia mellifera","147P",0,36.6389,1.09403
"41","Acacia mellifera","147S1",0,36.64035,1.09707
"42","Acacia mellifera","147S2",0,36.65002,1.09902
"43","Acacia mellifera","147S3",0,36.63858,1.10052
"44","Acacia mellifera","259P",0,36.67755,1.08168
"45","Acacia mellifera","259S1",0,36.67627,1.07275
"46","Acacia mellifera","259S2",0,36.67549,1.06665
"47","Acacia mellifera","146P",0,36.6119,1.09003
"48","Acacia mellifera","033P",0,36.6549,1.09003
"49","Acacia mellifera","032P",0,36.66219,1.08819
"50","Acacia mellifera","119P",0,36.8308,1.00003
"51","Acacia mellifera","127P",0,36.66073,1.14606
"52","Acacia mellifera","127S1",0,36.66208,1.14875
"53","Acacia mellifera","127S2",0,36.66269,1.14877
"54","Acacia mellifera","059P",0,36.5889,1.14203
"55","Acacia mellifera","059S1",0,36.58614,1.139
"56","Acacia mellifera","059S2",0,36.58441,1.12101
"57","Acacia mellifera","034P",0,36.5759,1.13403
"58","Acacia mellifera","026P",0,36.61289,1.17972
"59","Acacia mellifera","026S1",0,36.61184,1.17923
"60","Acacia mellifera","026S2",0,36.61081,1.17932
"61","Acacia mellifera","026S3",0,36.61165,1.18017
"62","Acacia mellifera","027P",0,36.6279,1.17903
"63","Acacia mellifera","027S1",0,36.6297,1.18027
"64","Acacia mellifera","027S2",0,36.63267,1.18138
"65","Acacia mellifera","029P",0,36.5629,1.21203
"66","Acacia mellifera","029S1",0,36.56326,1.20959
"67","Acacia mellifera","029S2",0,36.55964,1.20946
"68","Acacia mellifera","037P",0,36.56842,1.2094
"69","Acacia mellifera","037S1",0,36.57148,1.21024
"70","Acacia mellifera","037S2",0,36.57184,1.21266
"71","Acacia mellifera","190P",0,36.72436,1.06634
"72","Acacia mellifera","190S1",0,36.72075,1.07035
"73","Acacia mellifera","190S2",0,36.72054,1.07462
"74","Acacia mellifera","098P",0,36.7239,1.06003
"75","Acacia mellifera","098S1",0,36.7269,1.06398
"76","Acacia mellifera","098S2",0,36.72884,1.06779
"77","Acacia mellifera","080P",0,36.71527,1.03945
"78","Acacia mellifera","080S1",0,36.71602,1.03237
"79","Acacia mellifera","080S2",0,36.71419,1.02701
"80","Acacia mellifera","107P",0,36.78229,0.93174
"81","Acacia mellifera","107S1",0,36.78448,0.93376
"82","Acacia mellifera","107S2",0,36.78413,0.93511
"83","Acacia mellifera","106P",0,36.78219,0.92877
"84","Acacia mellifera","081P",0,36.70083,1.04405
"85","Acacia mellifera","081S1",0,36.69977,1.0501
"86","Acacia mellifera","081S2",0,36.70009,1.05665
"87","Acacia mellifera","42MS",0,36.68718,1.08211
"88","Acacia mellifera","43MS",0,36.68809,1.08382
"89","Acacia mellifera","44MS",0,36.68394,1.08254
"90","Acacia mellifera","45MS",0,36.68972,1.08107
"91","Acacia mellifera","46MS",0,36.69307,1.07874
"92","Acacia mellifera","142P",0,36.86341,0.86979
"93","Acacia mellifera","142S1",0,36.86105,0.8729
"94","Acacia mellifera","142S2",0,36.86046,0.86968
"95","Acacia mellifera","143P",0,36.85321,0.84978
"96","Acacia mellifera","042P",0,37.38479,1.03181
"97","Acacia mellifera","043P",0,37.38961,1.02153
"98","Acacia mellifera","051P",0,37.33769,0.97166
"99","Acacia mellifera","052P",0,37.34382,0.97398
