site_id,x,y,georeference,date,time,height,person,location,country,area,shape,exposition,slope,elevation,soil.type,cover_soil_rock,cover_water,cover_litter,cover_dead_matter,cover_total,cover_field,cover_shrub,cover_tree,pH,moisture,salinity,sand,silt,clay,texture.grade,grazing.pressure,fire.history,corral,water,fire,prec,temp,comments
289P,36.7349,1.08703,wgs84,12/8/2016,12.04,8.6,LEWARANI,Tamiyoi,Kenya,4000,Rectangle,165,13,1988,sandy,70,0,20,10,105,5,80,20,6.54,12.76,0.16,58,20,22,SCL,4,2,yes,no,yes,602,161,Some plants were cut ie Acokanthere longoflora
289S1,36.73669,1.08986,wgs84,12/8/2016,13.05,8.2,LEMUNEN,Tamiyoi,Kenya,4000,Rectangle,25,10,2008,sandy,80,0,20,10,110,10,40,60,6.76,13.3,0.21,62,16,22,SCL,4,2,yes,no,yes,602,161,Unpalatable plants like Opuntia ficus-indica dominated the plot
289S2,36.73721,1.08998,wgs84,12/8/2016,14.33,7.3,DIKKO,Tamiyoi,Kenya,4000,Rectangle,120,6,2004,sandy,80,0,15,10,125,30,45,50,6.48,11.2,0.19,65,20,15,SCL,4,1,yes,no,yes,602,161,Unpalatable plants like Opuntia ficus-indica dominated the plot
118P,36.8249,1.01003,wgs84,17/08/2016,11.05,10.2,DIKKO,Baawa,Kenya,4000,Rectangle,128,18,1920,sandy,70,0,15,40,110,30,60,20,6.94,10.2,0.26,60,12,28,SCL,3,2,yes,yes,yes,602,161,Harvesting of plants for firewood 
118S1,36.8254,1.00866,wgs84,17/08/2016,12.45,11.9,DIKKO,Baawa,Kenya,4000,Rectangle,125,8,1798,sandy,80,0,25,10,120,25,40,55,7,11.8,0.31,60,8,32,SCL,3,2,yes,yes,yes,602,161,Some plants were cut in the area ie Croton megalocarpus
118S2,36.82647,1.00764,wgs84,17/08/2016,14.06,13.4,LEWARANI,Baawa,Kenya,4000,Rectangle,112,4,1862,sandy,80,0,40,25,140,30,50,60,7.07,10.67,0.22,74,4,22,SCL,4,2,yes,yes,yes,602,161, Harvesting of plants for firewood ie slash piles and stumps
191P,36.7319,1.09803,wgs84,15/08/2016,10.01,8.3,LORUKALA,Tamiyoi,Kenya,4000,Rectangle,150,15,1920,sandy,80,0,30,5,110,25,70,15,7.42,6.47,0.34,58,12,30,SCL,2,2,yes,no,yes,602,161,
191S1,36.73503,1.1005,wgs84,15/08/2016,11.3,9.1,LEMUNEN,Tamiyoi,Kenya,4000,Rectangle,245,20,1840,sandy,60,0,40,10,100,25,60,15,6.75,8.36,0.19,70,22,8,SCL,4,2,yes,no,yes,602,161,Unpalatable plants like Opuntia ficus-indica dominated the plot
191S2,36.73601,1.10162,wgs84,15/08/2016,12.5,7.4,AUGOSTINE,Tamiyoi,Kenya,4000,Rectangle,142,12,2018,sandy,85,0,20,5,115,40,60,15,7.16,10.12,0.25,75,15,10,SCL,4,2,yes,yes,yes,602,161, Harvesting of plants for firewood
288P,36.73759,1.08804,wgs84,12/8/2016,14.05,7.3,DIKKO,Tamiyoi,Kenya,4000,Rectangle,25,15,2015,sandy,80,0,20,5,120,20,40,60,6.1,7.13,0.15,64,12,24,SCL,4,0,yes,yes,no,602,161,Some plants were cut in the area ie Euclea divinorum
288S1,36.73828,1.09016,wgs84,12/8/2016,15.21,6.4,LORUKALA,Tamiyoi,Kenya,4000,Rectangle,290,10,2024,sandy,70,0,30,5,130,20,50,60,7.06,9.96,0.19,64,14,22,SCL,3,2,yes,no,yes,602,161,
288S2,36.73945,1.09178,wgs84,12/8/2016,16.32,6.7,DIKKO,Tamiyoi,Kenya,4000,Rectangle,280,9,2032,sandy,80,0,15,10,110,40,30,40,6.97,8.42,0.172,68,20,12,SCL,3,1,yes,no,yes,602,161,
137P,36.8409,1.00503,wgs84,17/08/2016,17.26,9.6,DIKKO,Baawa,Kenya,4000,Rectangle,126,6,1890,sandy,75,0,30,10,140,40,60,40,7.2,9.83,0.25,74,20,6,S,0,0,no,no,no,611,190,
136P,36.8439,1.02103,wgs84,17/08/2016,15.54,8.3,LEMUNEN,Baawa,Kenya,4000,Rectangle,226,12,1980,sandy,85,0,25,10,140,30,70,40,6.8,10.81,0.18,70,18,12,SL,0,0,no,no,no,611,190,
258P,36.6759,1.08903,wgs84,11/8/2016,11.41,8.1,AUGOSTINE,Lpartuk,Kenya,4000,Rectangle,35,7,2003,sandy,80,0,10,10,110,30,70,10,6.08,13.66,0.21,56,10,34,SCL,4,1,yes,yes,yes,602,161,
258S1,36.6748,1.08831,wgs84,11/8/2016,13.03,8.9,DIKKO,Lpartuk,Kenya,4000,Rectangle,50,10,2042,sandy,90,0,20,10,110,20,80,10,6.18,12.46,0.17,40,10,50,C,4,0,yes,yes,no,602,161,
258S2,36.6732,1.08742,wgs84,11/8/2016,14.43,8.6,LEMUNEN,Lpartuk,Kenya,4000,Rectangle,72,13,2018,sandy,90,0,10,5,105,35,50,20,6.4,10.42,0.18,45,15,40,C,1,2,yes,yes,yes,602,161,
147P,36.6389,1.09403,wgs84,16/08/2016,13.04,8.1,LORUKALA,Lemisigyo,Kenya,4000,Rectangle,325,17,2118,sandy,60,0,30,15,160,40,60,60,6.27,8.2,0.19,38,34,28,CL,3,2,yes,yes,yes,642,158,
147S1,36.64035,1.09707,wgs84,16/08/2016,14.15,9.3,DIKKO,Lemisigyo,Kenya,4000,Rectangle,47,8,2039,sandy,80,0,5,20,128,30,60,38,5.8,7.9,0.15,20,38,42,C,1,0,yes,yes,no,642,158,Some plants were cut in the site ie Juniperus procera
147S2,36.65002,1.09902,wgs84,16/08/2016,15.22,8.4,AUGOSTINE,Lemisigyo,Kenya,4000,Rectangle,110,4,2012,sandy,80,0,20,10,130,60,30,40,7.23,7.7,0.35,20,42,38,SiCL,1,2,yes,yes,yes,642,158,"Some plants were cut in the site ie Euclea divinorum, honey harvesting seem to have led to burning of vegetation in the area"
147S3,36.63858,1.10052,wgs84,16/08/2016,16.43,10.9,DIKKO,Lemisigyo,Kenya,4000,Rectangle,47,6,2028,sandy,40,0,10,70,150,30,50,70,7.8,7.3,0.21,24,46,30,SiCL,0,1,yes,yes,yes,642,158,
259P,36.67755,1.08168,wgs84,18/08/2016,11.32,12.8,LORUKALA,Nomotio,Kenya,4000,Rectangle,283,7,2006,sandy,95,0,10,2,120,60,40,20,6.6,9.3,0.16,67,25,8,SL,4,2,yes,no,yes,602,161,Harvesting of plants for firewood
259S1,36.67627,1.07275,wgs84,18/08/2016,14.03,9.7,DIKKO,Nomotio,Kenya,4000,Rectangle,167,7,1979,sandy,90,0,10,3,105,60,30,15,6.04,17.4,0.1,61,21,18,SL,4,2,yes,yes,yes,602,161,
259S2,36.67549,1.06665,wgs84,18/08/2016,15.35,9.6,LEMUNEN,Nomotio,Kenya,4000,Rectangle,234,9,1954,sandy,89,0,20,3,108,30,70,8,6.51,10.34,0.21,72,15,13,SL,4,0,yes,yes,no,602,161,Site generally undisturbed apart from grazing
146P,36.6119,1.09003,wgs84,18/08/2016,16.55,8.7,DIKKO,Lemisigyo,Kenya,4000,Rectangle,86,10,1943,sandy,80,0,20,8,130,40,60,30,5.93,8.47,0.19,70,17,13,SL,0,0,no,no,no,642,158,"Olea africana was burnt to produce charcoal, bee hives in Juniperus procera trees "
033P,36.6549,1.09003,wgs84,15/08/2016,14.45,12.8,AUGOSTINE,Lpartuk,Kenya,4000,Rectangle,225,5,2083,sandy,70,0,25,30,150,40,60,50,7.03,18.6,0.41,24,38,38,CL,1,0,no,no,no,642,158,Olea africana was pollered for livestock
032P,36.66219,1.08819,wgs84,16/08/2016,18.14,9.2,DIKKO,Lpartuk,Kenya,4000,Rectangle,223,17,2060,sandy,70,0,30,5,120,40,50,30,6.83,10.1,0.3,26,40,34,CL,2,2,no,no,yes,642,158,
119P,36.8308,1.00003,wgs84,17/08/2016,15.45,7.1,LEMUNEN,Naiborkeju,Kenya,4000,Rectangle,168,2,1836,sandy,80,0,40,8,100,30,60,10,8.53,8.63,0.56,58,6,36,SC,1,0,no,no,no,602,161,
127P,36.66073,1.14606,wgs84,23/08/2016,12.36,10.2,DIKKO,Longoshani,Kenya,4000,Rectangle,22,16,2231,sandy,86,0,15,10,155,30,40,85,5.67,25.6,0.13,70,8,22,SCL,4,0,yes,no,no,642,158,It rained in the site on the day
127S1,36.66208,1.14875,wgs84,23/08/2016,14.44,8.5,DIKKO,Longoshani,Kenya,4000,Rectangle,112,13,2219,sandy,90,0,15,4,177,40,50,87,5.25,33.2,0.34,52,12,36,SC,2,1,yes,no,yes,642,158,It rained in the site on the  day
127S2,36.66269,1.14877,wgs84,23/08/2016,16.09,9.4,DIKKO,Longoshani,Kenya,4000,Rectangle,330,14,2207,sandy,89,14,10,5,189,30,60,90,5.93,28.4,0.13,70,14,16,SL,1,2,yes,yes,yes,642,158,It rained in the site on the day
059P,36.5889,1.14203,wgs84,24/08/2016,13.06,12.3,LELESIT ,Seketet,Kenya,4000,Rectangle,228,4,2288,sandy,80,0,40,10,160,30,40,90,6.98,11.6,0.78,58,10,32,SCL,2,0,yes,yes,no,642,158,
059S1,36.58614,1.139,wgs84,24/08/2016,14.31,14,DIKKO,Seketet,Kenya,4000,Rectangle,165,7,2270,sandy,86,0,20,20,165,30,50,85,6.68,28.3,0.1,76,6,18,SL,1,0,yes,yes,no,642,158,It rained in the area on the day
059S2,36.58441,1.12101,wgs84,24/08/2016,16.11,10.2,DIKKO,Seketet,Kenya,4000,Rectangle,239,21,2218,sandy,90,0,20,5,155,20,50,85,5.64,31.3,0.11,60,8,32,SCL,1,0,yes,yes,no,642,158,It rained on the site on the day
034P,36.5759,1.13403,wgs84,24/08/2016,18.12,9.3,DIKKO,Lesdai,Kenya,4000,Rectangle,217,15,2129,sandy,90,0,20,7,128,20,28,80,5.1,29.6,0.24,72,18,10,SL,3,1,no,no,yes,642,158,"Some plants were cut ie Olea africana, it rained in the site on the  day"
026P,36.61289,1.17972,wgs84,26/08/2016,13.45,14.8,LELESIT,Ngano,Kenya,4000,Rectangle,336,18,2355,sandy,90,0,50,30,136,38,48,50,6.1,29.7,0.07,54,22,24,SCL,4,0,yes,yes,no,658,161,Some plantss were cut in the area ie Olea africana
026S1,36.61184,1.17923,wgs84,26/08/2016,16.05,10.2,DIKKO,Ngano,Kenya,4000,Rectangle,71,19,2345,sandy,90,0,40,20,108,10,23,75,7.22,24.6,0.61,64,4,32,SCL,0,1,yes,yes,yes,658,161,"This site was recently burnt, site was very steep and some trees fell down after being washed by water ie Olea africana, some plants were cut ie Olea africana"
026S2,36.61081,1.17932,wgs84,26/08/2016,17.09,13.2,LEWARANI,Ngano,Kenya,4000,Rectangle,342,21,2353,sandy,90,0,60,10,130,30,40,60,6.58,28.6,0.35,64,22,14,SL,1,2,yes,yes,yes,658,161,Some plants were cut ie Olea africana and Juniperus procera
026S3,36.61165,1.18017,wgs84,26/08/2016,15.05,9.8,LEMUNEN,Ngano,Kenya,4000,Rectangle,337,23,2293,sandy,94,0,5,10,120,30,40,50,7.2,20.1,0.35,72,14,14,SL,1,1,yes,yes,yes,658,161,Some plants were cut ie Olea africana was burnt to produce charcoal. Most vegetation in the area was recently burnt.
027P,36.6279,1.17903,wgs84,26/08/2016,9.01,13.2,LORUKALA,Ngano,Kenya,4000,Rectangle,128,12,2298,sandy,90,0,20,13,115,25,70,20,6.25,20.2,0.11,79,5,16,SL,3,0,yes,yes,no,658,161,
027S1,36.6297,1.18027,wgs84,26/08/2016,11.15,9.9,DIKKO,Ngano,Kenya,4000,Rectangle,222,16,2323,sandy,90,0,30,7,120,70,40,10,5.97,21.95,0.12,85,5,10,SL,1,2,yes,yes,yes,658,161,Some plants were cut in the site ie Juniperus procera and Olea africana
027S2,36.63267,1.18138,wgs84,26/08/2016,12.3,8.5,LEWARANI,Ngano,Kenya,4000,Rectangle,72,13,2296,sandy,87,0,23,6,100,30,45,25,6.44,23.63,0.21,79,13,8,LS,2,1,yes,yes,yes,658,161,"Some plants were cut in the site ie Olea africana and Juniperus procera, seasoal stream with no water in the site, bee harvesting which is associated with fire was evident in the site."
029P,36.5629,1.21203,wgs84,30/08/2016,11,6.8,LELESIT,Siambu,Kenya,4000,Rectangle,107,12,2402,sandy,90,10,60,40,170,40,60,70,6.33,28.3,0.18,53,21,26,SCL,4,2,yes,yes,yes,658,161,Some plants were cut ie Juniperus procera
029S1,36.56326,1.20959,wgs84,30/08/2016,12.15,8.6,DIKKO,Siambu,Kenya,4000,Rectangle,108,13,2385,sandy,90,0,45,10,125,30,70,25,6.07,25.47,0.15,56,24,20,SL,4,2,yes,yes,yes,658,161,Some plants were cut ie Juniperus procera
029S2,36.55964,1.20946,wgs84,30/08/2016,13.15,13.1,LELESIT,Siambu,Kenya,4000,Rectangle,156,17,2371,sandy,95,25,40,10,140,20,40,80,6.19,19.63,0.22,54,22,24,SCL,2,0,yes,yes,no,658,161,"Some trees were cut in the site ie Olea africana, Teclea simplicifolia."
037P,36.56842,1.2094,wgs84,30/08/2016,14.45,10.4,LELESIT,Siambu,Kenya,4000,Rectangle,219,13,2369,sandy,90,0,60,15,115,15,20,80,6.32,16.33,0.18,56,20,24,SCL,3,0,yes,yes,no,658,161,"Some trees fell down due to the force of water because the site was too steep ie Saramunai. Juniperus procera was affected by a strange disease. Some trees were cut ie Olea africana. Ajuga remota, Myrisine africana, Lminchomi, lesermende and Enteropogan macrostachyus mostly grew on the open margins of the forests. Ajuga remota mostly found in flat areas."
