scientific name,289P,289S1,289S2,118P,118S1,118S2,191P,191S1,191S2,288P,288S1,288S2,137P,136P,258P,258S1,258S2,147P,147S1,147S2,147S3,259P,259S1,259S2,146P,033P,032P,119P,127P,127S1,127S2,059P,059S1,059S2,034P,026P,026S1,026S2,026S3,027P,027S1,027S2,029P,029S1,029S2,037P,037S1,037S2,190P,190S1,190S2,098P,098S1,098S2,080P,080S1,080S2,107P,107S1,107S2,106P,081P,081S1,081S2,42MS,43MS,44MS,45MS,46MS,142P,142S1,142S2,143P,042P,043P,051P,052P,073P,073S1,073S2,074P,075P,075S1,075S2,076P,SNR001,SNR002,021P,020P,197P,181P,226P,110P,110S1,110S2,045P,037P,044P,036P,031P,001P,001S3,148P,149P,158P,101P,102P,102S3,025P,024P,104P,106P,105P,107P,108P,109P,114P,115P,115S1,115S2,113P,113S1,113S2,154P,155P,061P,061S3,062P,063P,063S3
Acacia mellifera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45,0.5,0.2,0,0,0,0,0,0,0,0,0,0,0.6,0.25,0.17,0.05,0.21,0.23,0.1,0.2,0.25,0.07,0,0.12,0.6,0.12,0.05,0.1,0.03,0.15,0.08,0.07,0,0,0,0,0
Acacia etbaica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.03,0,0.05,0.1,0.47,0.12,0.34,0.34,0.36,0,0.48,0.24,0.32,0.05,0.5,0.25,0.3,0.12,0.18,0.05,0.07,0.02,0,0,0.01,0.18,0,0.01,0,0,0.07,0,0,0.1,0.01,0,0,0
Acacia drepanolobium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.1,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.08,0.01,0,0.03,0,0.04,0.2,0.75,0.15,0,0.03,0.02,0.4,0.3,0.2,0.08,0.38,0.03,0.45,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acacia nilotica,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0.25,0.45,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0.03,0,0,0,0,0,0.47,0.23,0.02,0.47,0,0,0,0,0,0,0,0,0.18,0.02,0,0.02,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.4,0.53,0.48,0.36,0.4,0,0,0,0.36,0,0.1,0.48,0.54,0.1,0.3,0.46,0.4,0.36,0,0,0,0,0,0.01,0,0.01,0,0,0,0,0.01,0.02,0.08,0.01,0,0,0,0,0.65,0.1,0.49,0,0
Acacia nubica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0.85,0,0,0,0.03,0.02,0,0.36,0.4,0.1,0.3,0.16,0,0,0,0,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.25,0,0,0,0.07,0.03,0.01
Acacia senegal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.7,0.48,0,0,0,0,0.03,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0.03,0.05,0.03,0.02,0.6,0,0,0.35,0,0,0,0,0
Acacia tortilis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.1,0.13,0.15,0.65,0.55,0.7,0.3,0.6,0.2,0.35,0.15,0.9,0.9,0.9,0.9,0.5,0.2,0.39,0.4,0.4,0.53,0.38,0.7,0.69,0.69,0.28,0.4,0.24,0.4,0,0.56,0,0.18,0,0.38,0.7,0.46,0.47,0.6,0.64,0.55,0.6,0.55,0.7,0.75,0.7,0,0.6,0.62,0.68,0.7,0.65,0.55,0.5,0.4,0.4,0.32,0.67,0.58,0.3
Acacia xanthophloea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0.04,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.1,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acokanthera oppositifolia,0.2,0,0.35,0.16,0.13,0.4,0.4,0.3,0.35,0.1,0.15,0.35,0.26,0.45,0.05,0.2,0.25,0.23,0.15,0.17,0.15,0.13,0.03,0,0.4,0.3,0.6,0.1,0,0,0,0,0.15,0,0,0,0,0,0,0,0.02,0.15,0,0,0,0,0,0,0.3,0.35,0,0,0.4,0.2,0,0.01,0,0,0,0,0,0.25,0,0.08,0.38,0.7,0.2,0.15,0.55,0.03,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adenium obesum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.1,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0,0,0,0,0.15,0.15,0,0,0.03,0.05,0,0.02,0,0.01,0.07,0.02,0,0,0,0,0,0.02,0.01,0.02,0.02,0,0.04,0.01,0
