x,y,species cloglog values
1.0,1.0,0.09935396
2.0,2.0,0.99393404
3.0,3.0,0.11912336
4.0,4.0,0.05735026
5.0,5.0,0.076223634
6.0,6.0,0.21603282
7.0,7.0,0.10010423
8.0,8.0,0.059857965
9.0,9.0,0.6555702
10.0,10.0,0.03526417
11.0,11.0,0.055916037
12.0,12.0,0.055628717
13.0,13.0,0.08979423
14.0,14.0,0.20289184
15.0,15.0,0.06794502
16.0,16.0,0.11596322
17.0,17.0,0.2917433
18.0,18.0,0.1539253
19.0,19.0,0.22398816
20.0,20.0,0.08736818
21.0,21.0,0.93747896
22.0,22.0,0.107289694
23.0,23.0,0.07719523
24.0,24.0,0.987508
25.0,25.0,0.21472602
26.0,26.0,0.20502806
27.0,27.0,0.10651482
28.0,28.0,0.064375184
29.0,29.0,0.055492114
30.0,30.0,0.107289694
31.0,31.0,0.24922219
32.0,32.0,0.063403085
33.0,33.0,0.19696555
34.0,34.0,0.5698765
35.0,35.0,0.034781255
36.0,36.0,0.03086624
37.0,37.0,0.055916037
38.0,38.0,0.090173915
39.0,39.0,0.023453837
40.0,40.0,0.23319566
41.0,41.0,0.04169977
42.0,42.0,0.38362515
43.0,43.0,0.102119
44.0,44.0,0.90167457
45.0,45.0,0.95703185
46.0,46.0,0.5324739
47.0,47.0,0.053106956
48.0,48.0,0.6194737
49.0,49.0,0.051452823
50.0,50.0,0.08097509
51.0,51.0,0.5519994
52.0,52.0,0.53092176
53.0,53.0,0.6808734
54.0,54.0,0.04175082
55.0,55.0,0.79252523
56.0,56.0,0.9010667
57.0,57.0,0.034793828
58.0,58.0,0.09839989
59.0,59.0,0.06351503
60.0,60.0,0.16930245
61.0,61.0,0.043893423
62.0,62.0,0.1792179
63.0,63.0,0.13228056
64.0,64.0,0.03640306
65.0,65.0,0.30669248
66.0,66.0,0.032997735
67.0,67.0,0.06402709
68.0,68.0,0.6892716
69.0,69.0,0.21894263
70.0,70.0,0.17804958
71.0,71.0,0.058860984
72.0,72.0,0.17229453
73.0,73.0,0.07636284
74.0,74.0,0.95703185
75.0,75.0,0.495239
76.0,76.0,0.017043991
77.0,77.0,0.16467321
78.0,78.0,0.058269706
79.0,79.0,0.057396237
80.0,80.0,0.043893423
81.0,81.0,0.34442332
82.0,82.0,0.12487381
83.0,83.0,0.9450518
84.0,84.0,0.33406076
85.0,85.0,0.107110746
86.0,86.0,0.04023211
87.0,87.0,0.12661879
88.0,88.0,0.04126843
89.0,89.0,0.2744407
90.0,90.0,0.2782226
91.0,91.0,0.059673358
92.0,92.0,0.24233834
93.0,93.0,0.28334552
94.0,94.0,0.77723217
95.0,95.0,0.9033886
96.0,96.0,0.13922475
97.0,97.0,0.040989652
98.0,98.0,0.0649621
99.0,99.0,0.09325196
100.0,100.0,0.039174
101.0,101.0,0.07083467
102.0,102.0,0.17643617
103.0,103.0,0.113812506
104.0,104.0,0.027490498
105.0,105.0,0.0690808
106.0,106.0,0.218569
107.0,107.0,0.09651856
108.0,108.0,0.039174
109.0,109.0,0.035735834
110.0,110.0,0.06706781
111.0,111.0,0.06744459
112.0,112.0,0.20558481
113.0,113.0,0.13281095
114.0,114.0,0.07684873
115.0,115.0,0.26165748
116.0,116.0,0.40090775
117.0,117.0,0.06907479
118.0,118.0,0.16503102
119.0,119.0,0.06465148
120.0,120.0,0.0756297
121.0,121.0,0.13326834
122.0,122.0,0.033441916
123.0,123.0,0.925151
124.0,124.0,0.071079426
125.0,125.0,0.4077016
126.0,126.0,0.2635121
127.0,127.0,0.06441449
128.0,128.0,0.19956116
129.0,129.0,0.5966554
130.0,130.0,0.61232865
131.0,131.0,0.035972126
132.0,132.0,0.0610989
133.0,133.0,0.8650735
134.0,134.0,0.042331696
135.0,135.0,0.09264078
136.0,136.0,0.09438075
137.0,137.0,0.17066261
138.0,138.0,0.068765685
139.0,139.0,0.48208883
140.0,140.0,0.032997735
141.0,141.0,0.19609232
142.0,142.0,0.8898031
143.0,143.0,0.9033886
144.0,144.0,0.115888715
145.0,145.0,0.23983929
146.0,146.0,0.14870393
147.0,147.0,0.074707784
148.0,148.0,0.04228461
149.0,149.0,0.09982487
150.0,150.0,0.06381833
151.0,151.0,0.12293901
152.0,152.0,0.24864776
153.0,153.0,0.11334591
154.0,154.0,0.12959695
155.0,155.0,0.06860097
156.0,156.0,0.8427643
157.0,157.0,0.18632324
158.0,158.0,0.07973041
159.0,159.0,0.12062962
160.0,160.0,0.07258797
161.0,161.0,0.2165127
162.0,162.0,0.068615004
163.0,163.0,0.098835714
164.0,164.0,0.08355335
165.0,165.0,0.08085073
166.0,166.0,0.10021898
167.0,167.0,0.06632104
168.0,168.0,0.08873359
169.0,169.0,0.15775849
170.0,170.0,0.03366447
171.0,171.0,0.10982291
172.0,172.0,0.05696137
173.0,173.0,0.011193263
174.0,174.0,0.74827325
175.0,175.0,0.06051101
176.0,176.0,0.05601556
177.0,177.0,0.52055544
178.0,178.0,0.05181673
179.0,179.0,0.04228461
180.0,180.0,0.19446817
181.0,181.0,0.041991916
182.0,182.0,0.066609584
183.0,183.0,0.046875007
184.0,184.0,0.17451529
185.0,185.0,0.25399986
186.0,186.0,0.06625628
187.0,187.0,0.15022457
188.0,188.0,0.08952073
189.0,189.0,0.1431514
190.0,190.0,0.7107982
191.0,191.0,0.09650726
192.0,192.0,0.08551335
193.0,193.0,0.90167457
194.0,194.0,0.13002467
195.0,195.0,0.06983407
196.0,196.0,0.10153101
197.0,197.0,0.07986409
198.0,198.0,0.15439527
199.0,199.0,0.078703694
200.0,200.0,0.049923196
201.0,201.0,0.04126843
202.0,202.0,0.84828323
203.0,203.0,0.2008607
204.0,204.0,0.104917474
205.0,205.0,0.058014438
206.0,206.0,0.065774985
207.0,207.0,0.03170367
208.0,208.0,0.14934193
209.0,209.0,0.05632611
210.0,210.0,0.21280538
211.0,211.0,0.13075927
212.0,212.0,0.0649621
213.0,213.0,0.04721543
214.0,214.0,0.19826275
215.0,215.0,0.047898598
216.0,216.0,0.18078335
217.0,217.0,0.10316234
218.0,218.0,0.038926788
219.0,219.0,0.07456145
220.0,220.0,0.87851757
221.0,221.0,0.13602836
222.0,222.0,0.056623135
223.0,223.0,0.064657845
224.0,224.0,0.024632502
225.0,225.0,0.106009796
226.0,226.0,0.12734173
227.0,227.0,0.06949976
228.0,228.0,0.13098028
229.0,229.0,0.17473042
230.0,230.0,0.8789401
231.0,231.0,0.07173722
232.0,232.0,0.0662235
233.0,233.0,0.91838664
234.0,234.0,0.04712961
235.0,235.0,0.26796785
236.0,236.0,0.041827258
237.0,237.0,0.8861416
238.0,238.0,0.24020559
239.0,239.0,0.10855216
240.0,240.0,0.0764955
241.0,241.0,0.06772654
242.0,242.0,0.046187226
243.0,243.0,0.03864725
244.0,244.0,0.04755663
245.0,245.0,0.11074893
246.0,246.0,0.041117202
247.0,247.0,0.029215446
248.0,248.0,0.071845405
249.0,249.0,0.048482016
250.0,250.0,0.009914078
251.0,251.0,0.17597048
252.0,252.0,0.06551667
253.0,253.0,0.21517117
254.0,254.0,0.1270827
255.0,255.0,0.30598885
256.0,256.0,0.09832038
257.0,257.0,0.81562144
258.0,258.0,0.09431017
259.0,259.0,0.06838428
260.0,260.0,0.041991916
261.0,261.0,0.6084066
262.0,262.0,0.044821195
263.0,263.0,0.035028826
264.0,264.0,0.09111231
265.0,265.0,0.064234026
266.0,266.0,0.07091978
267.0,267.0,0.17809491
268.0,268.0,0.2805165
269.0,269.0,0.19308187
270.0,270.0,0.75136644
271.0,271.0,0.10877698
272.0,272.0,0.038910422
273.0,273.0,0.14497577
274.0,274.0,0.3988659
275.0,275.0,0.9218686
276.0,276.0,0.102879874
277.0,277.0,0.9865012
278.0,278.0,0.16654673
279.0,279.0,0.12062869
280.0,280.0,0.09163613
281.0,281.0,0.12762529
282.0,282.0,0.19928338
283.0,283.0,0.04121799
284.0,284.0,0.044051405
285.0,285.0,0.21721146
286.0,286.0,0.057062685
287.0,287.0,0.18528907
288.0,288.0,0.035028826
289.0,289.0,0.07599649
290.0,290.0,0.034557406
291.0,291.0,0.09716044
292.0,292.0,0.05181673
293.0,293.0,0.0882174
294.0,294.0,0.1469132
295.0,295.0,0.10737013
296.0,296.0,0.05865019
297.0,297.0,0.14566335
298.0,298.0,0.15361278
299.0,299.0,0.11762852
300.0,300.0,0.095623
301.0,301.0,0.051048137
302.0,302.0,0.03767303
303.0,303.0,0.02945308
304.0,304.0,0.067970105
305.0,305.0,0.07006067
306.0,306.0,0.41407162
307.0,307.0,0.07454395
308.0,308.0,0.055628717
309.0,309.0,0.18682815
310.0,310.0,0.053985264
311.0,311.0,0.031438265
312.0,312.0,0.062710635
313.0,313.0,0.11238006
314.0,314.0,0.1384381
315.0,315.0,0.043585364
316.0,316.0,0.058860984
317.0,317.0,0.040156055
318.0,318.0,0.031913742
319.0,319.0,0.42689815
320.0,320.0,0.3854429
321.0,321.0,0.07283035
322.0,322.0,0.029051041
323.0,323.0,0.056840252
324.0,324.0,0.088911384
325.0,325.0,0.109025076
326.0,326.0,0.05756959
327.0,327.0,0.45790544
328.0,328.0,0.16854216
329.0,329.0,0.044202093
330.0,330.0,0.6723322
331.0,331.0,0.35995874
332.0,332.0,0.8144839
333.0,333.0,0.06407155
334.0,334.0,0.08639048
335.0,335.0,0.30783832
336.0,336.0,0.048241314
337.0,337.0,0.08777159
338.0,338.0,0.062283132
339.0,339.0,0.03362447
340.0,340.0,0.035088398
341.0,341.0,0.18921179
342.0,342.0,0.2852596
343.0,343.0,0.14786729
344.0,344.0,0.036117688
345.0,345.0,0.058269706
346.0,346.0,0.056791287
347.0,347.0,0.05485719
348.0,348.0,0.124179944
349.0,349.0,0.07549617
350.0,350.0,0.103941575
351.0,351.0,0.07840744
352.0,352.0,0.50709796
353.0,353.0,0.124076486
354.0,354.0,0.11430344
355.0,355.0,0.19908872
356.0,356.0,0.068823956
357.0,357.0,0.039871413
358.0,358.0,0.0724953
359.0,359.0,0.079235084
360.0,360.0,0.07430616
361.0,361.0,0.20354162
362.0,362.0,0.047898598
363.0,363.0,0.07269914
364.0,364.0,0.054014634
365.0,365.0,0.19038025
366.0,366.0,0.15082325
367.0,367.0,0.26841584
368.0,368.0,0.0273741
369.0,369.0,0.10109919
370.0,370.0,0.06161885
371.0,371.0,0.045754008
372.0,372.0,0.11238006
373.0,373.0,0.12379591
374.0,374.0,0.062716685
375.0,375.0,0.35028794
376.0,376.0,0.09424958
377.0,377.0,0.063403085
378.0,378.0,0.10015795
379.0,379.0,0.04126843
380.0,380.0,0.33661726
381.0,381.0,0.22167897
382.0,382.0,0.20289184
383.0,383.0,0.14141914
384.0,384.0,0.09195522
385.0,385.0,0.11191151
386.0,386.0,0.06488448
387.0,387.0,0.17557299
388.0,388.0,0.09936198
389.0,389.0,0.11488202
390.0,390.0,0.0681022
391.0,391.0,0.23859951
392.0,392.0,0.8699309
393.0,393.0,0.12343205
394.0,394.0,0.048482016
395.0,395.0,0.21640632
396.0,396.0,0.16819564
397.0,397.0,0.104012355
398.0,398.0,0.11238386
399.0,399.0,0.028526917
400.0,400.0,0.24233834
401.0,401.0,0.8924915
402.0,402.0,0.2009872
403.0,403.0,0.21748492
404.0,404.0,0.051425062
405.0,405.0,0.24882866
406.0,406.0,0.052181363
407.0,407.0,0.19837369
408.0,408.0,0.16144995
409.0,409.0,0.8621107
410.0,410.0,0.04228461
411.0,411.0,0.20233274
412.0,412.0,0.03470125
413.0,413.0,0.06590076
414.0,414.0,0.7233523
415.0,415.0,0.7695394
416.0,416.0,0.061605148
417.0,417.0,0.98752457
418.0,418.0,0.06351503
419.0,419.0,0.8154945
420.0,420.0,0.9406758
421.0,421.0,0.041991916
422.0,422.0,0.051110987
423.0,423.0,0.15113594
424.0,424.0,0.9162752
425.0,425.0,0.037923183
426.0,426.0,0.049805373
427.0,427.0,0.10109264
428.0,428.0,0.055916037
429.0,429.0,0.2729956
430.0,430.0,0.06568986
431.0,431.0,0.07517578
432.0,432.0,0.44895697
433.0,433.0,0.6406282
434.0,434.0,0.19650309
435.0,435.0,0.113614894
436.0,436.0,0.14520113
437.0,437.0,0.4376156
438.0,438.0,0.11762852
439.0,439.0,0.21043357
440.0,440.0,0.17710768
441.0,441.0,0.0690808
442.0,442.0,0.039403483
443.0,443.0,0.16144995
444.0,444.0,0.34877387
445.0,445.0,0.21458237
446.0,446.0,0.823091
447.0,447.0,0.049619265
448.0,448.0,0.14138494
449.0,449.0,0.27349108
450.0,450.0,0.8352634
451.0,451.0,0.16015352
452.0,452.0,0.03864725
453.0,453.0,0.07936267
454.0,454.0,0.17201544
455.0,455.0,0.030657662
456.0,456.0,0.83973426
457.0,457.0,0.068418324
458.0,458.0,0.055916037
459.0,459.0,0.16020836
460.0,460.0,0.07870228
461.0,461.0,0.053705342
462.0,462.0,0.08962727
463.0,463.0,0.041408196
464.0,464.0,0.13528092
465.0,465.0,0.0521817
466.0,466.0,0.16754895
467.0,467.0,0.1384381
468.0,468.0,0.10021032
469.0,469.0,0.44289804
470.0,470.0,0.04892891
471.0,471.0,0.59835154
472.0,472.0,0.06315528
473.0,473.0,0.43009964
474.0,474.0,0.09164253
475.0,475.0,0.1482268
476.0,476.0,0.24027485
477.0,477.0,0.024953473
478.0,478.0,0.10673132
479.0,479.0,0.41081032
480.0,480.0,0.03795599
481.0,481.0,0.19799224
482.0,482.0,0.03667589
483.0,483.0,0.1400547
484.0,484.0,0.17809491
485.0,485.0,0.10977941
486.0,486.0,0.06298831
487.0,487.0,0.88050914
488.0,488.0,0.92234576
489.0,489.0,0.22758766
490.0,490.0,0.034793828
491.0,491.0,0.11050943
492.0,492.0,0.117204815
493.0,493.0,0.4924666
494.0,494.0,0.18752334
495.0,495.0,0.2303876
496.0,496.0,0.11922125
497.0,497.0,0.24542423
498.0,498.0,0.12321662
499.0,499.0,0.05408868
500.0,500.0,0.17367603
501.0,501.0,0.57790446
502.0,502.0,0.09522934
503.0,503.0,0.10302632
504.0,504.0,0.08421802
505.0,505.0,0.16655791
506.0,506.0,0.11947229
507.0,507.0,0.03864725
508.0,508.0,0.06970538
509.0,509.0,0.1477225
510.0,510.0,0.23304692
511.0,511.0,0.2594832
512.0,512.0,0.1012057
513.0,513.0,0.04653539
514.0,514.0,0.06304168
515.0,515.0,0.065270014
516.0,516.0,0.07337592
517.0,517.0,0.05967843
518.0,518.0,0.1053293
519.0,519.0,0.14290199
520.0,520.0,0.20515412
521.0,521.0,0.12167052
522.0,522.0,0.08510407
523.0,523.0,0.051048137
524.0,524.0,0.13600528
525.0,525.0,0.17990592
526.0,526.0,0.025189476
527.0,527.0,0.16534199
528.0,528.0,0.06717058
529.0,529.0,0.03867547
530.0,530.0,0.03795599
531.0,531.0,0.69583684
532.0,532.0,0.024319002
533.0,533.0,0.016114363
534.0,534.0,0.10593298
535.0,535.0,0.10386798
536.0,536.0,0.046065982
537.0,537.0,0.07643169
538.0,538.0,0.056977745
539.0,539.0,0.7862474
540.0,540.0,0.09626999
541.0,541.0,0.1240822
542.0,542.0,0.64725953
543.0,543.0,0.14006172
544.0,544.0,0.03786034
545.0,545.0,0.057180125
546.0,546.0,0.06788868
547.0,547.0,0.09211649
548.0,548.0,0.27905115
549.0,549.0,0.0383845
550.0,550.0,0.1637208
551.0,551.0,0.2255412
552.0,552.0,0.19385326
553.0,553.0,0.07624172
554.0,554.0,0.22836465
