Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.34397E-5,0.002343971,0.008379371,1,0,0
2.49025E-5,0.004834224,0.008899974,0.99898374,0,0
2.65445E-5,0.007488677,0.009484023,0.99796748,0,0
2.77542E-5,0.010264099,0.009914078,0.99695122,0,0
4.52534E-5,0.026021376,0.016114364,0.992886179,0,0
6.31752E-5,0.053683946,0.022424161,0.987804878,0,0
7.68861E-5,0.102456343,0.027224059,0.980691057,0,0
8.67357E-5,0.200170704,0.030657662,0.968495935,0,0
9.47482E-5,0.300152165,0.033441917,0.957317073,0,0
9.93254E-5,0.407580345,0.035028827,0.946138211,0,0
1.0205E-4,0.507717549,0.035972128,0.93597561,0,0
1.06969E-4,0.601194518,0.037673032,0.926829268,0,0
1.09371E-4,0.720113956,0.03850261,0.915650407,0,0
1.0979E-4,0.764030078,0.038647249,0.911585366,0,0
1.11317E-4,0.808264324,0.039174003,0.907520325,0,0
1.14166E-4,0.909836751,0.040156056,0.898373984,0,0
1.17396E-4,1.002846091,0.041268431,0.890243902,0,0
1.2035E-4,1.1574862,0.04228461,0.87703252,0,0
1.20487E-4,1.217674774,0.042331697,0.87195122,0,0
1.23772E-4,1.303692812,0.043460562,0.864837398,0,0
1.25493E-4,1.403505166,0.044051405,0.856707317,0,0
1.30384E-4,1.506059324,0.045728225,0.848577236,0,0
1.36726E-4,1.759648192,0.0478986,0.829268293,0,0
1.45956E-4,2.01230608,0.051048139,0.81097561,0,0
1.53767E-4,2.250048539,0.053705343,0.794715447,0,0
1.61818E-4,2.504348193,0.056436359,0.778455285,0,0
1.66481E-4,2.750270238,0.058014436,0.763211382,0,0
1.71707E-4,3.004622573,0.059780006,0.74796748,0,0
1.79133E-4,3.251696368,0.062283134,0.733739837,0,0
1.83697E-4,3.506314431,0.063818329,0.719512195,0,0
1.8802E-4,3.766320297,0.065270014,0.705284553,0,0
1.92551E-4,4.014287678,0.066789474,0.692073171,0,0
1.97316E-4,4.268181142,0.068384285,0.678861789,0,0
1.99381E-4,4.506116436,0.069074789,0.666666667,0,0
2.03618E-4,4.768128856,0.070489603,0.653455285,0,0
2.09914E-4,5.016670657,0.072587969,0.641260163,0,0
2.17697E-4,5.251818618,0.07517578,0.630081301,0,0
2.21275E-4,5.515628214,0.076362838,0.617886179,0,0
2.27854E-4,5.762296048,0.078541867,0.606707317,0,0
2.31854E-4,6.014918749,0.079864095,0.595528455,0,0
2.47069E-4,6.2556699,0.084876057,0.585365854,0,0
2.57331E-4,6.509228973,0.088241121,0.575203252,0,0
2.63269E-4,6.770322293,0.090182801,0.56504065,0,0
2.70805E-4,7.011569953,0.092640782,0.555894309,0,0
2.78701E-4,7.259321744,0.095209193,0.546747967,0,0
2.84715E-4,7.513229193,0.097160441,0.537601626,0,0
2.91491E-4,7.773788015,0.099353959,0.528455285,0,0
2.94724E-4,8.008730733,0.100398806,0.520325203,0,0
3.00056E-4,8.277160516,0.102118997,0.511178862,0,0
3.05936E-4,8.52025749,0.104012353,0.50304878,0,0
