x,y,species cloglog values
1.0,1.0,0.07453624
2.0,2.0,0.07805673
3.0,3.0,0.03448735
4.0,4.0,0.37839505
5.0,5.0,0.9924388
6.0,6.0,0.063685685
7.0,7.0,0.10206822
8.0,8.0,0.07906463
9.0,9.0,0.32670757
10.0,10.0,0.2703557
11.0,11.0,0.7874313
12.0,12.0,0.7393568
13.0,13.0,0.07381062
14.0,14.0,0.06110316
15.0,15.0,0.032794535
16.0,16.0,0.08257537
17.0,17.0,0.17729613
18.0,18.0,0.054387137
19.0,19.0,0.08761285
20.0,20.0,0.58586913
21.0,21.0,0.040357314
22.0,22.0,0.0691794
23.0,23.0,0.07106162
24.0,24.0,0.05907667
25.0,25.0,0.024269896
26.0,26.0,0.03197327
27.0,27.0,0.07078016
28.0,28.0,0.047139015
29.0,29.0,0.043109775
30.0,30.0,0.043703035
31.0,31.0,0.48801714
32.0,32.0,0.05582923
33.0,33.0,0.0245174
34.0,34.0,0.03108
35.0,35.0,0.02977937
36.0,36.0,0.053555276
37.0,37.0,0.09288668
38.0,38.0,0.045115005
39.0,39.0,0.040721644
40.0,40.0,0.07987526
41.0,41.0,0.086432025
42.0,42.0,0.048827827
43.0,43.0,0.05266037
44.0,44.0,0.10106209
45.0,45.0,0.02316319
46.0,46.0,0.25228488
47.0,47.0,0.05060017
48.0,48.0,0.06453677
49.0,49.0,0.09588407
50.0,50.0,0.026511084
51.0,51.0,0.039156906
52.0,52.0,0.13043582
53.0,53.0,0.7881548
54.0,54.0,0.89268315
55.0,55.0,0.059748556
56.0,56.0,0.05389023
57.0,57.0,0.03888536
58.0,58.0,0.84700716
59.0,59.0,0.07966209
60.0,60.0,0.07290927
61.0,61.0,0.040110126
62.0,62.0,0.050046314
63.0,63.0,0.10786774
64.0,64.0,0.0489897
65.0,65.0,0.05735496
66.0,66.0,0.06846293
67.0,67.0,0.54128283
68.0,68.0,0.54166865
69.0,69.0,0.112861894
70.0,70.0,0.038120624
71.0,71.0,0.14309427
72.0,72.0,0.07087796
73.0,73.0,0.67706454
74.0,74.0,0.09543597
75.0,75.0,0.24108766
76.0,76.0,0.05160245
77.0,77.0,0.06000741
78.0,78.0,0.07365829
79.0,79.0,0.05369472
80.0,80.0,0.33291817
81.0,81.0,0.7387991
82.0,82.0,0.17401317
83.0,83.0,0.4647499
84.0,84.0,0.03267236
85.0,85.0,0.1102269
86.0,86.0,0.044715255
87.0,87.0,0.060979284
88.0,88.0,0.0595237
89.0,89.0,0.039694477
90.0,90.0,0.04195223
91.0,91.0,0.053068127
92.0,92.0,0.04961547
93.0,93.0,0.08441811
94.0,94.0,0.04479886
95.0,95.0,0.0278038
96.0,96.0,0.07376161
97.0,97.0,0.06451564
98.0,98.0,0.30604726
99.0,99.0,0.99980205
100.0,100.0,0.0731422
101.0,101.0,0.1143081
102.0,102.0,0.5299539
103.0,103.0,0.66509676
104.0,104.0,0.0338743
105.0,105.0,0.035846166
106.0,106.0,0.08040139
107.0,107.0,0.060085848
108.0,108.0,0.5328892
109.0,109.0,0.06284918
110.0,110.0,0.06783114
111.0,111.0,0.040248558
112.0,112.0,0.19287199
113.0,113.0,0.041892163
114.0,114.0,0.030933538
115.0,115.0,0.036618542
116.0,116.0,0.08253298
117.0,117.0,0.3634337
118.0,118.0,0.061839372
119.0,119.0,0.71822834
120.0,120.0,0.46953192
121.0,121.0,0.055073544
122.0,122.0,0.036896285
123.0,123.0,0.03958028
124.0,124.0,0.08897148
125.0,125.0,0.4759499
126.0,126.0,0.08062665
127.0,127.0,0.049509604
128.0,128.0,0.19224356
129.0,129.0,0.027124597
130.0,130.0,0.04422128
131.0,131.0,0.041638806
132.0,132.0,0.055255845
133.0,133.0,0.060007498
134.0,134.0,0.06245657
135.0,135.0,0.075058326
136.0,136.0,0.13078801
137.0,137.0,0.28703624
138.0,138.0,0.033138752
139.0,139.0,0.041353073
140.0,140.0,0.05042103
141.0,141.0,0.032179803
142.0,142.0,0.03333144
143.0,143.0,0.035131518
144.0,144.0,0.046355266
145.0,145.0,0.053888
146.0,146.0,0.051098775
147.0,147.0,0.17795882
148.0,148.0,0.051890068
149.0,149.0,0.30774525
150.0,150.0,0.04338101
151.0,151.0,0.830469
152.0,152.0,0.8951288
153.0,153.0,0.26597786
154.0,154.0,0.12733507
155.0,155.0,0.9674054
156.0,156.0,0.99956214
157.0,157.0,0.041248597
158.0,158.0,0.04007467
159.0,159.0,0.99661905
160.0,160.0,0.08573611
161.0,161.0,0.043806825
162.0,162.0,0.036906768
163.0,163.0,0.07165351
164.0,164.0,0.043576587
165.0,165.0,0.6768357
166.0,166.0,0.037997
167.0,167.0,0.2531718
168.0,168.0,0.35771993
169.0,169.0,0.9497608
170.0,170.0,0.052842293
171.0,171.0,0.05688784
172.0,172.0,0.03691679
173.0,173.0,0.43703884
174.0,174.0,0.09255038
175.0,175.0,0.37294427
176.0,176.0,0.047895588
177.0,177.0,0.03342311
178.0,178.0,0.077332735
179.0,179.0,0.49731985
180.0,180.0,0.03246908
181.0,181.0,0.07179059
182.0,182.0,0.2641682
183.0,183.0,0.05321851
184.0,184.0,0.039545175
185.0,185.0,0.9341785
186.0,186.0,0.04333891
187.0,187.0,0.064332746
188.0,188.0,0.04264824
189.0,189.0,0.29915065
190.0,190.0,0.59904486
191.0,191.0,0.046065032
192.0,192.0,0.026057985
193.0,193.0,0.17148562
194.0,194.0,0.106278874
195.0,195.0,0.023554916
196.0,196.0,0.050061837
197.0,197.0,0.06778577
198.0,198.0,0.33145636
199.0,199.0,0.065700874
200.0,200.0,0.104109064
201.0,201.0,0.099478774
202.0,202.0,0.18543924
203.0,203.0,0.028341927
204.0,204.0,0.6936694
205.0,205.0,0.041684993
206.0,206.0,0.05462814
207.0,207.0,0.08048608
208.0,208.0,0.84361863
209.0,209.0,0.050871044
210.0,210.0,0.12619776
211.0,211.0,0.055400793
212.0,212.0,0.08643993
213.0,213.0,0.039689504
214.0,214.0,0.047800932
215.0,215.0,0.1630324
216.0,216.0,0.040472537
217.0,217.0,0.12038733
218.0,218.0,0.03624538
219.0,219.0,0.1535146
220.0,220.0,0.06142621
221.0,221.0,0.046794813
222.0,222.0,0.1411076
223.0,223.0,0.31517318
224.0,224.0,0.0308944
225.0,225.0,0.09266764
226.0,226.0,0.06379581
227.0,227.0,0.8825528
228.0,228.0,0.041789018
229.0,229.0,0.074745215
230.0,230.0,0.101064146
231.0,231.0,0.05181474
232.0,232.0,0.12062396
233.0,233.0,0.072464876
234.0,234.0,0.11543085
235.0,235.0,0.028380709
236.0,236.0,0.13664946
237.0,237.0,0.5620716
238.0,238.0,0.031510916
239.0,239.0,0.042968262
240.0,240.0,0.12940419
241.0,241.0,0.06389377
242.0,242.0,0.1330693
243.0,243.0,0.04494778
244.0,244.0,0.04171809
245.0,245.0,0.109495156
246.0,246.0,0.2302384
247.0,247.0,0.030576356
248.0,248.0,0.0293008
249.0,249.0,0.05959953
250.0,250.0,0.08229935
251.0,251.0,0.040641196
252.0,252.0,0.07564507
253.0,253.0,0.048290063
254.0,254.0,0.12842247
255.0,255.0,0.036971897
256.0,256.0,0.82486844
257.0,257.0,0.08972672
258.0,258.0,0.08377241
259.0,259.0,0.07755311
260.0,260.0,0.025859717
261.0,261.0,0.10932705
262.0,262.0,0.13432723
263.0,263.0,0.048255887
264.0,264.0,0.045158636
265.0,265.0,0.046557408
266.0,266.0,0.12598729
267.0,267.0,0.07296918
268.0,268.0,0.8642316
269.0,269.0,0.12524408
270.0,270.0,0.07770143
271.0,271.0,0.05704638
272.0,272.0,0.0709569
273.0,273.0,0.06639354
274.0,274.0,0.036148995
275.0,275.0,0.045042742
276.0,276.0,0.035066467
277.0,277.0,0.10260641
278.0,278.0,0.02885837
279.0,279.0,0.46550095
280.0,280.0,0.0838062
281.0,281.0,0.07408894
282.0,282.0,0.0770096
283.0,283.0,0.08500657
284.0,284.0,0.40151298
285.0,285.0,0.2210815
286.0,286.0,0.06800463
287.0,287.0,0.5918228
288.0,288.0,0.04821986
289.0,289.0,0.0452212
290.0,290.0,0.0902339
291.0,291.0,0.07440514
292.0,292.0,0.049136642
293.0,293.0,0.99817276
294.0,294.0,0.042841565
295.0,295.0,0.10061443
296.0,296.0,0.12515748
297.0,297.0,0.035507284
298.0,298.0,0.0573987
299.0,299.0,0.070330895
300.0,300.0,0.07755852
301.0,301.0,0.03680414
302.0,302.0,0.05971062
303.0,303.0,0.028181275
304.0,304.0,0.054959945
305.0,305.0,0.13062617
306.0,306.0,0.28626195
307.0,307.0,0.11061837
308.0,308.0,0.029867914
309.0,309.0,0.042758565
310.0,310.0,0.09872503
311.0,311.0,0.4751056
312.0,312.0,0.034163848
313.0,313.0,0.17525877
314.0,314.0,0.06700128
315.0,315.0,0.14098214
316.0,316.0,0.07846511
317.0,317.0,0.041339923
318.0,318.0,0.04184856
319.0,319.0,0.047041923
320.0,320.0,0.09115545
321.0,321.0,0.047940742
322.0,322.0,0.033817824
323.0,323.0,0.2771415
324.0,324.0,0.034740705
325.0,325.0,0.039233558
326.0,326.0,0.045546517
327.0,327.0,0.048508972
328.0,328.0,0.023825455
329.0,329.0,0.05708115
330.0,330.0,0.08236899
331.0,331.0,0.058526654
332.0,332.0,0.03654406
333.0,333.0,0.06765435
334.0,334.0,0.06302112
335.0,335.0,0.048333894
336.0,336.0,0.046310455
337.0,337.0,0.04352424
338.0,338.0,0.059001606
339.0,339.0,0.035242755
340.0,340.0,0.041096296
341.0,341.0,0.5599436
342.0,342.0,0.050785795
343.0,343.0,0.06369123
344.0,344.0,0.05919593
345.0,345.0,0.20816351
346.0,346.0,0.18973316
347.0,347.0,0.066252165
348.0,348.0,0.06186478
349.0,349.0,0.3462279
350.0,350.0,0.4209348
351.0,351.0,0.39382386
352.0,352.0,0.033095725
353.0,353.0,0.07858987
354.0,354.0,0.21871486
355.0,355.0,0.042521372
356.0,356.0,0.05485354
357.0,357.0,0.060317397
358.0,358.0,0.07801021
359.0,359.0,0.2407777
360.0,360.0,0.1387003
361.0,361.0,0.14205602
362.0,362.0,0.093255505
363.0,363.0,0.15620078
364.0,364.0,0.09532457
365.0,365.0,0.069608495
366.0,366.0,0.23615249
367.0,367.0,0.044624444
368.0,368.0,0.33134547
369.0,369.0,0.04211958
370.0,370.0,0.890689
371.0,371.0,0.19754973
372.0,372.0,0.15730093
373.0,373.0,0.061096348
374.0,374.0,0.16670583
375.0,375.0,0.02516212
376.0,376.0,0.17657751
377.0,377.0,0.058059637
378.0,378.0,0.05078866
379.0,379.0,0.09104094
380.0,380.0,0.043231532
381.0,381.0,0.050472055
382.0,382.0,0.043540876
383.0,383.0,0.048708875
384.0,384.0,0.08315969
385.0,385.0,0.70778036
386.0,386.0,0.04906312
387.0,387.0,0.32149985
388.0,388.0,0.049176067
389.0,389.0,0.034899976
390.0,390.0,0.031233251
391.0,391.0,0.05597749
392.0,392.0,0.9091169
393.0,393.0,0.98697704
394.0,394.0,0.02134273
395.0,395.0,0.07475196
396.0,396.0,0.09147233
397.0,397.0,0.05520622
398.0,398.0,0.112316705
399.0,399.0,0.41687685
400.0,400.0,0.03377219
401.0,401.0,0.045782052
402.0,402.0,0.09434853
403.0,403.0,0.07292936
404.0,404.0,0.04808387
405.0,405.0,0.042502575
406.0,406.0,0.04877098
407.0,407.0,0.049138136
408.0,408.0,0.06900256
409.0,409.0,0.057437103
410.0,410.0,0.08074408
411.0,411.0,0.45851442
412.0,412.0,0.07839011
413.0,413.0,0.05121526
414.0,414.0,0.03013166
415.0,415.0,0.062335223
416.0,416.0,0.08323082
417.0,417.0,0.5498279
418.0,418.0,0.047232848
419.0,419.0,0.06707763
420.0,420.0,0.037216123
421.0,421.0,0.03673101
422.0,422.0,0.08553874
423.0,423.0,0.111978866
424.0,424.0,0.043766852
425.0,425.0,0.0424794
426.0,426.0,0.028691532
427.0,427.0,0.9927377
428.0,428.0,0.9163345
429.0,429.0,0.29769596
430.0,430.0,0.035697486
431.0,431.0,0.08550185
432.0,432.0,0.03707437
433.0,433.0,0.43352234
434.0,434.0,0.042224813
435.0,435.0,0.17169346
436.0,436.0,0.05921301
437.0,437.0,0.45950058
438.0,438.0,0.08232569
439.0,439.0,0.07994174
440.0,440.0,0.054390624
441.0,441.0,0.79364777
442.0,442.0,0.07274397
443.0,443.0,0.04335043
444.0,444.0,0.09192317
445.0,445.0,0.083073795
446.0,446.0,0.080049895
447.0,447.0,0.06674944
448.0,448.0,0.16580842
449.0,449.0,0.14332375
450.0,450.0,0.03561699
451.0,451.0,0.04319748
452.0,452.0,0.076885864
453.0,453.0,0.38722852
454.0,454.0,0.18812308
455.0,455.0,0.033147704
456.0,456.0,0.02553034
457.0,457.0,0.045026343
458.0,458.0,0.04437735
459.0,459.0,0.11847487
460.0,460.0,0.034184724
461.0,461.0,0.052780584
462.0,462.0,0.19021101
463.0,463.0,0.054726236
464.0,464.0,0.039794445
465.0,465.0,0.086414844
466.0,466.0,0.57203317
467.0,467.0,0.042113442
468.0,468.0,0.088261105
469.0,469.0,0.037964042
470.0,470.0,0.069991425
471.0,471.0,0.068875596
472.0,472.0,0.047504816
473.0,473.0,0.035669334
474.0,474.0,0.096585155
475.0,475.0,0.09217075
476.0,476.0,0.032967012
477.0,477.0,0.08086375
478.0,478.0,0.2493864
479.0,479.0,0.04478745
480.0,480.0,0.04465729
481.0,481.0,0.13886337
482.0,482.0,0.13280413
483.0,483.0,0.027560776
484.0,484.0,0.20318589
485.0,485.0,0.09572034
486.0,486.0,0.48231608
487.0,487.0,0.051981863
488.0,488.0,0.9955196
489.0,489.0,0.042891487
490.0,490.0,0.06519831
491.0,491.0,0.04592887
492.0,492.0,0.0616336
493.0,493.0,0.07508581
494.0,494.0,0.037224364
495.0,495.0,0.06202059
496.0,496.0,0.07020893
497.0,497.0,0.06626115
498.0,498.0,0.9158228
499.0,499.0,0.037101544
500.0,500.0,0.056883756
501.0,501.0,0.2542512
502.0,502.0,0.07823451
503.0,503.0,0.21066636
504.0,504.0,0.63147706
505.0,505.0,0.092073195
506.0,506.0,0.050559614
507.0,507.0,0.105492905
508.0,508.0,0.15936483
509.0,509.0,0.15402694
510.0,510.0,0.07645249
511.0,511.0,0.040055327
512.0,512.0,0.05240054
513.0,513.0,0.123540714
514.0,514.0,0.039196033
515.0,515.0,0.044404868
516.0,516.0,0.12017023
517.0,517.0,0.029763957
518.0,518.0,0.09627278
519.0,519.0,0.065977916
